연번,군구명,시설명,주소,전화번호,아동정원,종사자,운영주체
65,남동구,예사랑지역아동센터,"인천광역시 앵고개로815번길 22, 1층(논현동,소래휴먼시아3단지아파트 관리동)",032-431-1532,34,4,개인
66,남동구,온새미로지역아동센터,"인천광역시 백범로226번길 35, 2층(만수동)",032-422-9634,29,2,온새미로사회적협동조합
67,남동구,우리동네지역아동센터,"인천광역시 석정로461번길 10, 103호(간석동)",032-203-2911,25,2,개인
68,남동구,웃음꽃지역아동센터,"인천광역시 남동대로726번길 15-20, 3층(구월동)",032-464-7975,27,3,사회적협동조합헤세드
69,남동구,장미원지역아동센터,인천광역시 인수로32번길 22-2(만수동),070-4239-4954,15,2,개인
70,남동구,충헌지역아동센터,"인천광역시 서창남로 2, 2층(서창동, 서창12단지LH아파트 주민복지동)",032-463-8674,38,4,사단법인충헌사회복지회
71,남동구,큰사랑행복한홈스쿨지역아동센터,"인천광역시 백범로124번길 162, 3층(만수동)",032-464-9925,18,2,사회복지법인 기아대책
72,남동구,하늘둥지지역아동센터,"인천광역시 청능대로715번길 59(논현동, 주공아파트 주민복지관)",032-423-8977,33,4,개인
73,남동구,하늘마을지역아동센터,"인천광역시 논현로 45, 2층(논현동, 논현휴먼시아 하늘마을)",032-432-6382,39,4,㈜다사랑보육서비스
74,남동구,한빛지역아동센터,"인천광역시 구월로137번길 40, 3층(간석동)",032-439-3220,34,4,개인
75,남동구,해피아이지역아동센터,인천광역시 만수서로37번길 32(만수동),032-428-5370,33,4,가치누리사회적협동조합
76,남동구,행복한지역아동센터,인천광역시 남동대로898번길 25(간석동),032-422-8291,35,4,개인
77,남동구,희망온새미로지역아동센터,"인천광역시 석산로208번길 27-9, 2층 (구월동)",032-423-1306,33,3,온새미로사회적협동조합
78,남동구,희망지역아동센터,"인천광역시 소래로669번길 30, 302호(만수동)",032-462-4203,40,4,희망터 사회적협동조합
79,남동구,올리브나무지역아동센터,"인천광역시 만수로 11, 2층 (만수동)",032-213-2201,19,2,개인
80,부평구,갈산동도토리학교지역아동센터,인천광역시 평천로 355(갈산동),032-527-0933,19,2,개인
81,부평구,경인비전스쿨지역아동센터,인천광역시 마장로 14(십정동),070-8288-4347,19,2,기독교대한감리회유지재단
82,부평구,고토지역아동센터,"인천광역시 부흥로 380, 2층(부개 2동)",032-330-1135,25,3,개인
83,부평구,나라찬누리지역아동센터,"인천광역시 마장로450번길 18, 4층(청천동)",032-514-1388,25,3,나라찬사회적협동조합 
84,부평구,다드림지역아동센터,인천광역시 항동로45번길 8(일신동),032-511-8291,35,4,개인
85,부평구,함께걷기 다정지역아동센터,"인천광역시 화랑남로5번길 20, 2층(산곡동)",032-504-5477,35,4,함께걷기 사회적협동조합
86,부평구,인천행복한돌봄동암지역아동센터,인천광역시 백범로406번길 64(십정동),032-429-8485,29,3,인천행복한돌봄사회적협동조합
87,부평구,무지개지역아동센터,"인천광역시 부평문화로 127, 4층(부평동)",032-330-1641,35,3,개인
88,부평구,인천행복한돌봄믿음지역아동센터,인천광역시 남부역로5번길 38(부평동),032-526-4425,25,3,인천행복한돌봄사회적협동조합
89,부평구,함께걷기보아스지역아동센터,"인천광역시 마장로72번길 8, 2층(십정동)",032-503-7598,19,2,함께걷기 사회적협동조합
90,부평구,너른들 부평지역아동센터,"인천광역시 장제로159번길 34, 2층(부평동)",032-521-4458,32,4,너른들사회적협동조합
91,부평구,사단법인 예온 사랑의지역아동센터,"인천광역시 원길로 11번길 45, 2층(산곡동)",032-512-9090,25,3,사단법인 예온
92,부평구,사단법인 예온 산곡지역아동센터,"인천광역시 원적로 298, 4층(산곡동)",032-523-3790,29,3,사단법인 예온
93,부평구,삼산해오름 지역아동센터,"인천광역시 부평북로 448, 3층(삼산동)",032-523-7035,25,3,개인
94,부평구,새빛행복한홈스쿨지역아동센터,"인천광역시 주부토로 146, 3층(갈산동)",032-525-2710,19,2,기아대책
95,부평구,생명지역아동센터,"인천광역시 부흥북로58번길 16, 2층(부평동)",032-512-9063,29,3,개인
96,부평구,사단법인 예온 생명샘지역아동센터,"인천광역시 수변로10번길 5, 3층(부개1동)",032-517-2077,39,4,사단법인 예온
97,부평구,서로사랑지역아동센터,"인천광역시 주부토로219번길 36, 2층(갈산동)",032-522-3312,39,4,기독교대한감리회유지재단
98,부평구,함께걷기소망지역아동센터,"인천광역시 마장로 412, 2층(청천동)",032-519-2525,35,4,함께걷기사회적협동조합
99,부평구,십정동지역아동센터,"인천광역시 배곶로 71, 2층(십정동)",070-7681-5843,19,2,개인
100,부평구,사단법인 예온 에덴마을지역아동센터,인천광역시 일신로40번길 21-2(일신동),032-502-3258,19,2,사단법인 예온
101,부평구,나라찬 엘림지역아동센터,"인천광역시 동수로 123, 3층(부개동)",032-528-1270,29,2,나라찬사회적협동조합 
102,부평구,나라찬 예꿈지역아동센터,"인천광역시 경인로 918, 3층(부평동)",032-426-6016,35,4,나라찬사회적협동조합 
103,부평구,오순도순지역아동센터,"인천광역시 마장로364번길 7-1, 3층(청천동)",032-507-2340,19,2,언저리사회적협동조합
104,부평구,카리타스(구 갈산복지관)지역아동센터,"인천광역시 주부토로 206, 2층(갈산동)",032-527-7581,29,3,사회복지법인 인천가톨릭사회복지회
105,부평구,인천부평사랑회 지역아동센터,"인천광역시 항동로 27, 3층(부개 1동)",032-518-3360,35,4,개인
106,부평구,제일지역아동센터,인천광역시 부평문화로197번길 40(부개2동),032-508-1255,29,3,개인
107,부평구,함께걷기참사랑지역아동센터,인천광역시 부흥로 315번길 18-5,032-522-7523,29,3,함께걷기 사회적협동조합
108,부평구,함께걷기큰사랑지역아동센터,"인천광역시 평천로 145, 2층(청천동)",032-512-3770,35,4,함께걷기 사회적협동조합
109,부평구,나라찬 한사랑지역아동센터,"인천광역시 길주남로 78, 2층(부평동)",032-511-9065,31,4,나라찬사회적협동조합 
110,부평구,나라찬 한우리지역아동센터,"인천광역시 영성로 38, 2층(삼산동)",032-528-6500,29,3,나라찬사회적협동조합 
111,부평구,해님공부방지역아동센터,"인천광역시 배곶북로 14, 2층(십정동)",032-437-6049,19,2,열우물사람들 사회적협동조합
112,부평구,햇살 공부방지역아동센터,"인천광역시 세월천로 11-8, 3층(청천동)",032-504-6308,25,3,너른들사회적협동조합
113,계양구,인천행복한돌봄계양 지역아동센터,"인천광역시 봉오대로698번길 11, 2~3층(작전동)",032-541-1090,29,3,인천행복한돌봄사회적협동조합
114,계양구,함께걷기 키파지역아동센터지역아동센터,"인천광역시 계산로 3, 2층(계산동)",032-554-9111,29,3,함께걷기사회적협동조합
115,계양구,계양 푸른솔지역아동센터,"인천광역시 아나지로 517, 2층(작전서운동)",032-552-9012,19,2,사회복지법인명성복지회
116,계양구,함께걷기 로뎀나무지역아동센터,"인천광역시 경명대로1029번길 22-18, 1층(계산동)",032-205-7212,19,2,함께걷기사회적협동조합
117,계양구,새벽지역아동센터,"인천광역시 주부토로501번길 31, 3층(계산동)",032-549-7375,29,3,개인
118,계양구,새봄 지역아동센터,"인천광역시 계수로 6-1, 2층(계산동)",032-548-0679,19,2,개인
119,계양구,선민아이들세상 지역아동센터,"인천광역시 아나지로 144, 2층(효성동)",032-549-1474,29,3,개인
120,계양구,신나는 교실 지역아동센터,"인천광역시 효서로135번길 11, 2층(효성동)",032-543-0346,29,3,개인
121,계양구,씨앗지역아동센터,"인천광역시 새벌로 120, 208호(효성동)",032-553-0455,19,2,개인
122,계양구,인천행복한돌봄 예원지역아동센터,"인천광역시 인천광역시 계양대로120번길 25-17, 2층(작전동)",032-204-0423,29,3,인천행복한돌봄사회적협동조합
123,계양구,우리두리지역아동센터,"인천광역시 효서로 93, 2층(효성1동)",032-545-7911,19,2,개인
124,계양구,함께걷기 이지 지역아동센터,"인천광역시 효서로 39, 5층(효성동)",032-541-7908,29,3,함께걷기사회적협동조합
125,계양구,인천행복한돌봄 임학 지역아동센터,"인천광역시 병방시장로 32-1, 2층/301,302호(임학동)",032-542-7740,29,3,인천행복한돌봄사회적협동조합
126,계양구,작전행복한홈스쿨지역아동센터,"인천광역시 주부토로 368, 1층(작전동)",070-8255-8174,29,3,사회복지법인 기아대책
127,계양구,청운지역아동센터,"인천광역시 안남로573번길 26, 401~404호(효성동)",070-4102-1674,29,3,개인
128,계양구,하늘씨앗지역아동센터,"인천광역시 까치말로15번길 11-2, 3층(작전동)",070-7581-3927,29,3,개인
129,계양구,해인지역아동센터,"인천광역시 경명대로1045번길 21-5, 3층(계산동)",032-543-8004,25,3,(사)인천내일을여는집
130,계양구,행복나눔지역아동센터,인천광역시 동양로 74-33(동양동),032-551-0330,19,2,개인
131,계양구,효성지역아동센터,"인천광역시 효서로 208, 2층(효성동)",032-554-9191,19,2,개인
132,계양구,효성사랑지역아동센터,"인천광역시 안남로573번길 16, 2층(효성동, 뉴서울1차A상가)",032-551-3367,29,3,개인
133,계양구,효성중앙지역아동센터,"인천광역시 새풀로7번길 37, 2층(효성동)",070-8774-8292,19,2,개인
134,계양구,샛별지역아동센터,"인천광역시 장제로946번길 16-2, 2층(병방동)",032-552-2959,19,2,개인
135,계양구,해솔지역아동센터,인천광역시 봉오대로531번길 6-9(효성1동),032-542-1254,19,2,개인
136,계양구,소양지역아동센터,"인천광역시 장제로 997번길2, 2~3층(박촌동)",032-544-6999,19,2,개인
137,서구,BTC지역아동센터,"인천광역시 심곡로 193-14, 3층(연희동)",032-568-6691,35,4,우리모아사회적협동조합
138,서구,가좌지역아동센터,"인천광역시 여우재로 99, 2층(가좌동)",032-581-9669,19,2,개인
139,서구,검단지역아동센터,인천광역시 검단로 501번길 69,070-8257-7582,29,3,개인
140,서구,서곶지역아동센터,"인천광역시 승학로287번길 27, 2층(연희동)",070-7783-6900,25,3,개인
141,서구,꿈나무지역아동센터,"인천광역시 가석로156번길 14, 3층(가좌동)",032-577-4025,23,2,개인
142,서구,꿈이자라는지역아동센터,"인천광역시 건지로318번안길 17, 2층/3층 일부 302호(가좌동)",032-577-6239,35,4,개인
143,서구,내일을여는 교실지역아동센터,"인천광역시 율도로 109, 202호(가정동, 진흥아파트) ",032-577-5218,35,4,개인
144,서구,늘푸른지역아동센터,"인천광역시 가정로126번길 29, 3층(가좌동)",032-575-7500,35,4,개인
145,서구,백합지역아동센터,"인천광역시 장고개로287번길 6-2, 2층(가좌동)",032-577-4075,19,2,사단법인충헌사회복지회
146,서구,새벽공부방지역아동센터,"인천광역시 장고개로 264, 3층(가좌동)",032-582-2862,19,2,개인
147,서구,샘물지역아동센터,인천광역시 염곡로383번길 24(신현동) ,032-568-3391,32,4,개인
148,서구,서로사랑하는지역아동센터,"인천광역시 완정로10번길 8, 3층(마전동)",032-565-5060,25,3,개인
149,서구,석남지역아동센터,"인천광역시 서달로137번길 13, 2층(석남동)",032-579-3654,29,3,개인
150,서구,성문지역아동센터,인천광역시 서달로 126(석남동),032-573-5545,19,2,개인
151,서구,심곡지역아동센터,"인천광역시 승학로 278, 3층(심곡동)",032-562-0691,33,4,개인
152,서구,연희지역아동센터,"인천광역시 심곡로 17, 2층(심곡동)",032-562-9119,35,4,우리모아사회적협동조합
153,서구,오트지역아동센터,"인천광역시 서달로123번길 14, 3층(석남동)",032-573-5755,32,4,개인
154,서구,옹기종기지역아동센터,인천광역시 간촌로31번길 16(연희동) ,032-565-2554,22,2,대한성공회유지재단법인
155,서구,은가비지역아동센터,인천광역시 건지로284번길 3-4(가좌동),032-576-1388,25,3,개인
156,서구,진주공부방지역아동센터,인천광역시 신진말로33번길 8-15 (가좌동) ,032-577-2728,35,4,개인
157,서구,푸른꿈지역아동센터,인천광역시 검단로435번길 9-1(왕길동),032-562-5702,19,2,개인
158,서구,푸른솔생활학교지역아동센터,"인천광역시 가정로138번길 14, 2층(가좌동)",032-577-4009,31,4,개인
159,서구,위누리지역아동센터,인천광역시 길주로 142번길 24-1(석남동),032-584-2047,19,2,우리모아사회적협동조합
160,서구,해바라기지역아동센터,"인천광역시 열우물로 247, 5층(가좌동)",032-581-4043,35,4,개인
161,서구,행복한 지역아동센터,"인천광역시 염곡로 307-1, 2층(석남동)",032-581-7395,19,2,개인
162,서구,행복한동산지역아동센터,"인천광역시 완정로178번길 52, 1층(검단동)",032-563-3393,40,4,개인
163,서구,호산나지역아동센터,"인천광역시 원적로 120, 403호(가좌동)",070-7527-5213,25,3,사단법인충헌사회복지회
164,서구,그레이스힐검단지역아동센터,"인천광역시 검단로 623번길 17, 2층(마전동)",032-566-8920,32,4,개인
165,강화군,신나는지역아동센터,인천광역시 강화읍 신문길44번길 8-4(신문리),032-934-1905,19,2,단체강화여성의전화
166,강화군,고인돌지역아동센터,인천광역시 하점면 강화대로 1089(부근리),032-933-6394,19,2,(사)밝은마을주요섭
167,강화군,밝은햇살지역아동센터,인천광역시 강화읍 북문길 6(관청리),032-932-3688,19,2,개인
168,강화군,열매지역아동센터,인천광역시 강화읍 갑룡길 76-17(갑곳리),032-934-9963,30,4,개인
169,강화군,아름다운지역아동센터,인천광역시 강화읍 동문로141번길 17-7(옥림리),032-933-6235,19,2,개인
170,강화군,제자지역아동센터,인천광역시 강화읍 갑룡길 84(갑곳리),070-4642-2782,36,4,개인
171,강화군,화도마리지역아동센터,인천광역시 화도면 가능포로 37-12(상방리),032-937-9062,19,2,개인
172,강화군,희망터지역아동센터,인천광역시 길상면 온수길38번길 14(온수리),032-937-7811,35,4,(재)대한성공회유지재단
173,강화군,강화지역아동센터,"인천광역시 강화읍 갑룡길117번길 28-3, 나동 102호(용정리)",032-934-5123,19,2,(재)기독교대한감리회유지재단
174,옹진군,영흥지역아동센터,인천광역시 영흥면 영흥서로 220,070-4159-2189,19,2,개인
175,서구,서구공립지역아동센터,인천광역시 율도로 16번길 18(석남동),032-582-1701,29,3,부스러기사랑나눔회
