구분,학교명,학생수,주소,위도,경도,교무실,행정실
초등학교,청량초등학교,502,인천 연수구 먼우금로 158,37.411901,126.674698,032-817-6037,032-817-6037
초등학교,청학초등학교,463,인천 연수구 함박뫼로 25,37.420009,126.670731,032-629-5265,032-629-5216
초등학교,축현초등학교,287,인천 연수구 청량로 176,37.422667,126.654393,032-834-6182,032-834-8492
초등학교,함박초등학교,543,인천 연수구 함박뫼로 87,37.424146,126.677218,032-821-0432,032-629-5504
초등학교,해송초등학교,642,인천 연수구 인천타워대로54번길 46,37.380811,126.649232,032-629-6677,032-629-6674
초등학교,현송초등학교,812,인천 연수구 아카데미로 312번길 96,37.37802,126.628698,032-452-8100,032-452-8100
초등학교,송빛초등학교,762,인천 연수구 아카데미로343번길 27,37.385914,126.612789,032-745-4800,032-745-4800
중학교,능허대중학교,1007,인천 연수구 송도교육로 31,37.383912,126.643855,032-550-7818,032-550-7800
중학교,박문중학교,729,인천 연수구 송도과학로51번길 102,37.383912,126.643855,032-890-1965,032-890-1901
중학교,선학중학교,381,인천 연수구 선학로 19,37.420776,126.698289,032-629-7908,032-629-7895
중학교,신송중학교,1236,인천 연수구 해돋이로56번길 12,37.389431,126.656818,032-851-0561,032-851-0562
중학교,연성중학교,752,인천 연수구 원인재로 105,37.409111,126.677231,032-815-4128,032-629-8043
중학교,연수중학교,358,인천 연수구 원인재로 231,37.416549,126.686451,032-815-4038,032-815-4039
중학교,연화중학교,728,인천 연수구 용담로 156,37.412045,126.680325,032-822-5584,032-822-5581
중학교,옥련중학교,475,인천 연수구 청량로 222,37.426219,126.654333,032-834-1581,032-834-1581
중학교,인송중학교,580,인천 연수구 능허대로79번길 55,37.42668,126.642392,032-623-9706,032-623-9736
중학교,인천미송중학교,1211,인천 연수구 송도동 308-4,37.383912,126.643855,032-456-3100,032-456-3100
중학교,인천신정중학교,1265,인천 연수구 컨벤시아대로 42번길 80,37.403423,126.645844,032-629-9413,032-629-9393
중학교,인천여자중학교,400,인천 연수구 원인재로 47,37.404666,126.673934,032-629-8283,032-629-8323
중학교,인천예송중학교,1057,인천 연수구 아카데미로 212,37.37802,126.628698,032-340-8564,032-340-8569
중학교,인천중학교,243,인천 연수구 함박뫼로 203,37.42119,126.688931,032-812-1946,032-811-3621
중학교,인천해송중학교,882,인천 연수구 해송로 148,37.379943,126.648327,032-851-6831,032-851-6832
중학교,인천현송중학교,922,인천 연수구 아카데미로 312번길 84,37.3930421,126.6195935,032-610-6124,032-610-6174
중학교,청량중학교,928,인천 연수구 먼우금로 138,37.410367,126.673046,032-819-8148,032-819-8149
중학교,청학중학교,290,인천 연수구 함박뫼로 5,37.418441,126.670482,032-629-8156,032-629-8144
중학교,함박중학교,729,인천 연수구 솔샘로 143,37.424427,126.661515,032-831-1461,032-831-1462
중학교,인천은송중학교,536,인천 연수구 센트럴로 464,37.415833,126.630315,032-626-2600,032-626-2600
고등학교,신송고등학교,951,인천 연수구 신송로6번길 56,37.391905,126.659601,032-851-1612,032-627-5037
고등학교,연수고등학교,969,인천 연수구 원인재로 145,37.411527,126.680092,032-817-0052,032-817-0052
고등학교,연수여자고등학교,926,인천 연수구 먼우금로141번길 9,37.411271,126.671833,032-457-1234,032-457-1100
고등학교,옥련여자고등학교,859,인천 연수구 옥골로 77,37.431319,126.649162,032-650-3075,032-650-3000
고등학교,인천여자고등학교,854,인천 연수구 비류대로506번길 14,37.422091,126.690052,032-810-6320,032-810-6303
고등학교,인천연송고등학교,901,인천 연수구 컨벤시아대로 42번길 72,37.401513,126.64725,032-712-2000,032-712-2003
고등학교,인천해송고등학교,904,인천 연수구 해송로 20,37.382244,126.645852,032-858-9573,032-831-0321
고등학교,뷰티예술고고등학교,446,인천 연수구 원인재로 21,37.40347,126.671824,032-627-3800,032-327-3712
고등학교,인천생활과학고등학교,497,인천 연수구 함박뫼로 103,37.423678,126.67823,032-820-6525,032-820-6505
고등학교,인천해양과학고등학교,359,인천 연수구 능허대로 71,37.425903,126.640813,032-627-6867,032-627-6852
고등학교,인천바이오과학고등학교,438,인천 연수구 용담로 12,37.420478,126.668551,032-817-0121,032-817-0124
고등학교,인천과학예술영재학교,238,인천 연수구 아카데미로 192,37.37802,126.628698,032-890-6752,032-890-6714
고등학교,박문여자고등학교,823,인천 연수구 송도과학로51번길 16,37.383912,126.643855,032-621-4663,032-550-1940
고등학교,송도고등학교,933,인천 연수구 독배로 91,37.429155,126.644336,032-627-4080,032-627-4080
고등학교,인천대건고등학교,955,인천 연수구 능허대로 437,37.402253,126.665351,032-822-0451,032-822-0451
고등학교,인천 포스코고등학교,719,인천 연수구 컨벤시아대로42번길 50,37.401513,126.64725,032-850-8620,032-850-8610
대안학교,인천 청담고등학교,35,인천 연수구 앵고개로 132,37.411807,126.664996,032-833-2014,032-833-2014
특수학교,연일학교,263,인천 연수구 함박뫼로 208,37.420293,126.688387,032-816-6473,032-816-6472
